CPU Stats,Memory Stats,Network Stats,Up Time
"[3.0, 53.8]","[5.36, 31.8, 2.4]","[325017414, 502215774, 619521, 840415]",173204.25
"[1.0, 51.6]","[5.36, 31.8, 2.4]","[325029455, 502230483, 619601, 840498]",173206.26
"[0.0, 53.2]","[5.36, 31.8, 2.4]","[325166743, 502305970, 619666, 840548]",173208.26
"[0.3, 53.2]","[5.36, 31.8, 2.4]","[325167299, 502306538, 619672, 840554]",173210.26
"[0.0, 53.8]","[5.36, 31.8, 2.4]","[325167299, 502306538, 619672, 840554]",173212.27
"[0.5, 51.6]","[5.36, 31.8, 2.4]","[325168125, 502309114, 619681, 840567]",173214.27
"[0.3, 52.1]","[5.36, 31.8, 2.4]","[325168125, 502310960, 619681, 840571]",173216.28
"[0.0, 51.0]","[5.36, 31.8, 2.4]","[325168545, 502312216, 619685, 840579]",173218.28
"[1.0, 52.1]","[5.36, 31.8, 2.4]","[325169211, 502313778, 619692, 840591]",173220.28
"[0.0, 50.5]","[5.36, 31.8, 2.4]","[325169616, 502315940, 619695, 840598]",173222.29
"[0.5, 51.6]","[5.36, 31.8, 2.4]","[325171391, 502319186, 619714, 840622]",173224.29
"[0.0, 51.0]","[5.36, 31.8, 2.4]","[325171651, 502319502, 619716, 840625]",173226.30
"[0.2, 51.6]","[5.36, 31.8, 2.4]","[325172071, 502320718, 619720, 840634]",173228.30
"[0.3, 51.6]","[5.36, 31.8, 2.4]","[325176728, 502322550, 619730, 840646]",173230.31
"[0.0, 51.0]","[5.36, 31.8, 2.4]","[325177246, 502324085, 619736, 840658]",173232.31
"[0.0, 51.0]","[5.36, 31.8, 2.4]","[325178202, 502325841, 619746, 840672]",173234.31
"[1.0, 50.5]","[5.36, 31.8, 2.4]","[325178462, 502326433, 619748, 840675]",173236.32
"[0.0, 51.6]","[5.36, 31.8, 2.4]","[325178752, 502327097, 619751, 840680]",173238.32
"[0.3, 51.0]","[5.36, 31.8, 2.4]","[325179442, 502328518, 619757, 840690]",173240.32
"[0.0, 49.9]","[5.36, 31.8, 2.4]","[325179442, 502328990, 619757, 840692]",173242.33
"[0.0, 51.0]","[5.36, 31.8, 2.4]","[325180422, 502330742, 619766, 840705]",173244.33
"[0.3, 49.4]","[5.36, 31.8, 2.4]","[325180552, 502331334, 619767, 840708]",173246.33
"[0.0, 50.5]","[5.36, 31.8, 2.4]","[325181112, 502332302, 619772, 840715]",173248.34
"[0.0, 50.5]","[5.36, 31.8, 2.4]","[325181532, 502333558, 619776, 840723]",173250.34
"[0.0, 49.4]","[5.36, 31.8, 2.4]","[325181662, 502333558, 619777, 840723]",173252.34
"[0.2, 50.5]","[5.36, 31.8, 2.4]","[325182642, 502335310, 619786, 840736]",173254.35
"[0.5, 49.9]","[5.36, 31.8, 2.4]","[325182642, 502335310, 619786, 840736]",173256.35
"[0.3, 50.5]","[5.36, 31.8, 2.4]","[325183072, 502335806, 619790, 840741]",173258.35
"[0.3, 49.9]","[5.36, 31.8, 2.41]","[325183939, 502337616, 619798, 840755]",173260.36
"[0.5, 51.6]","[5.36, 31.8, 2.4]","[325184276, 502338437, 619802, 840761]",173262.36
"[0.3, 50.5]","[5.36, 31.8, 2.4]","[325185374, 502339773, 619813, 840773]",173264.37
"[0.2, 50.5]","[5.36, 31.8, 2.41]","[325185374, 502340245, 619813, 840775]",173266.37
