CPU Stats,Memory Stats,Network Stats,Up Time
"[17.8, 52.1]","[5.36, 31.9, 2.41]","[398641873, 557649907, 836920, 1054974]",177173.18
"[0.3, 51.0]","[5.36, 31.9, 2.41]","[398649141, 557657175, 836984, 1055042]",177174.18
"[1.3, 51.0]","[5.36, 31.9, 2.41]","[398653959, 557661081, 837032, 1055091]",177175.18
"[1.3, 52.1]","[5.36, 31.9, 2.41]","[398661892, 557667148, 837101, 1055154]",177176.19
"[0.5, 50.5]","[5.36, 31.9, 2.41]","[398667016, 557670938, 837153, 1055203]",177177.19
"[1.2, 50.5]","[5.36, 31.8, 2.41]","[398668313, 557672373, 837165, 1055217]",177178.19
"[0.5, 51.0]","[5.36, 31.9, 2.41]","[398670187, 557673855, 837184, 1055234]",177179.20
"[0.0, 51.0]","[5.36, 31.9, 2.41]","[398675112, 557677578, 837235, 1055283]",177180.30
"[5.0, 50.5]","[5.37, 31.8, 2.4]","[398687083, 557691364, 837320, 1055367]",177181.30
"[0.0, 50.5]","[5.37, 31.8, 2.4]","[398691857, 557695194, 837369, 1055414]",177182.31
"[0.3, 50.5]","[5.37, 31.8, 2.4]","[398703878, 557697294, 837389, 1055432]",177183.31
"[0.3, 48.8]","[5.37, 31.8, 2.4]","[398705843, 557699293, 837410, 1055452]",177184.31
"[0.3, 50.5]","[5.37, 31.8, 2.4]","[398710665, 557702495, 837459, 1055498]",177185.32
"[2.3, 50.5]","[5.42, 31.0, 2.34]","[398722720, 557713294, 837548, 1055584]",177186.32
"[1.0, 49.4]","[5.42, 31.0, 2.34]","[398728010, 557717566, 837601, 1055636]",177187.32
"[1.0, 52.1]","[5.42, 31.0, 2.34]","[398735832, 557725370, 837662, 1055702]",177188.33
"[1.0, 50.5]","[5.42, 31.0, 2.34]","[398740174, 557729060, 837705, 1055739]",177189.33
"[0.3, 50.5]","[5.42, 31.0, 2.34]","[398745179, 557732867, 837756, 1055790]",177190.33
"[2.2, 50.5]","[5.42, 31.0, 2.34]","[398756099, 557742727, 837848, 1055880]",177191.34
"[2.0, 50.5]","[5.42, 31.0, 2.34]","[398762247, 557747469, 837906, 1055936]",177192.34
"[3.8, 50.5]","[5.42, 31.0, 2.35]","[398776650, 557762298, 837995, 1056024]",177193.34
"[2.5, 50.5]","[5.42, 31.1, 2.35]","[398791623, 557777837, 838095, 1056128]",177194.42
"[0.3, 48.3]","[5.42, 31.1, 2.35]","[398798309, 557785864, 838158, 1056187]",177195.43
"[1.8, 49.9]","[5.42, 31.1, 2.35]","[398806700, 557793064, 838234, 1056261]",177196.43
"[3.0, 50.5]","[5.42, 31.1, 2.35]","[398815561, 557804367, 838305, 1056333]",177197.43
"[0.3, 48.8]","[5.42, 31.1, 2.35]","[398817334, 557805814, 838323, 1056349]",177198.44
"[1.3, 49.9]","[5.42, 31.1, 2.35]","[398844737, 557832913, 838529, 1056558]",177199.44
"[0.5, 49.4]","[5.42, 31.1, 2.35]","[398857990, 557845027, 838636, 1056669]",177200.44
"[2.7, 49.4]","[5.41, 31.2, 2.35]","[398901237, 557861647, 838788, 1056807]",177201.54
"[0.5, 48.8]","[5.41, 31.2, 2.35]","[398976206, 557872072, 838913, 1056919]",177202.55
"[0.3, 49.9]","[5.41, 31.2, 2.36]","[399002339, 557877950, 838968, 1056979]",177203.55
"[1.0, 49.4]","[5.41, 31.2, 2.36]","[399009353, 557884802, 839025, 1057039]",177204.56
"[0.3, 48.8]","[5.41, 31.2, 2.36]","[399015339, 557889382, 839084, 1057095]",177205.56
"[3.0, 50.5]","[5.41, 31.2, 2.36]","[399041956, 557914575, 839267, 1057280]",177206.57
"[1.0, 49.4]","[5.41, 31.2, 2.36]","[399051255, 557922163, 839338, 1057350]",177207.57
"[2.8, 48.8]","[5.41, 31.2, 2.36]","[399095934, 557937691, 839443, 1057445]",177208.58
"[1.7, 49.9]","[5.41, 31.2, 2.36]","[399130732, 557955108, 839551, 1057554]",177209.58
"[0.5, 49.4]","[5.41, 31.2, 2.36]","[399143315, 557967083, 839658, 1057663]",177210.58
"[2.0, 49.4]","[5.41, 31.2, 2.36]","[399153475, 557974955, 839739, 1057741]",177211.59
"[1.0, 50.5]","[5.41, 31.2, 2.36]","[399159843, 557980849, 839795, 1057798]",177212.59
"[1.0, 49.9]","[5.41, 31.2, 2.36]","[399165722, 557986622, 839848, 1057851]",177213.60
"[1.0, 49.9]","[5.41, 31.2, 2.36]","[399175705, 557996275, 839941, 1057943]",177214.60
"[0.3, 49.4]","[5.41, 31.2, 2.36]","[399182012, 558000810, 839998, 1057996]",177215.61
"[1.7, 48.8]","[5.41, 31.2, 2.36]","[399233680, 558014772, 840136, 1058122]",177216.61
"[0.5, 51.0]","[5.41, 31.2, 2.36]","[399300373, 558024871, 840253, 1058231]",177217.62
"[1.0, 49.4]","[5.42, 31.1, 2.35]","[399312401, 558036212, 840346, 1058319]",177218.62
"[0.7, 49.4]","[5.42, 31.1, 2.35]","[399320438, 558043983, 840421, 1058394]",177219.63
"[0.5, 49.4]","[5.41, 31.1, 2.35]","[399328235, 558051014, 840495, 1058470]",177220.63
"[1.3, 49.9]","[5.42, 31.1, 2.35]","[399342659, 558063932, 840621, 1058596]",177221.63
"[0.7, 48.3]","[5.42, 31.1, 2.35]","[399353129, 558073968, 840702, 1058679]",177222.64
"[2.0, 49.4]","[5.41, 31.2, 2.36]","[399362449, 558083744, 840783, 1058761]",177223.64
"[2.0, 49.9]","[5.41, 31.2, 2.36]","[399398280, 558092486, 840881, 1058846]",177224.65
"[0.5, 49.9]","[5.41, 31.2, 2.36]","[399404310, 558097340, 840941, 1058904]",177225.65
"[1.3, 49.4]","[5.41, 31.2, 2.36]","[399412644, 558104298, 841012, 1058973]",177226.66
"[0.3, 49.9]","[5.41, 31.2, 2.36]","[399415434, 558106698, 841040, 1059002]",177227.66
"[0.3, 48.3]","[5.41, 31.2, 2.36]","[399417152, 558108184, 841057, 1059019]",177228.67
"[0.5, 49.4]","[5.41, 31.2, 2.36]","[399422601, 558112801, 841110, 1059067]",177229.67
"[0.5, 49.4]","[5.42, 31.1, 2.35]","[399432072, 558121660, 841187, 1059146]",177230.67
"[3.0, 50.5]","[5.41, 31.1, 2.35]","[399461678, 558161994, 841327, 1059282]",177231.68
"[1.0, 49.4]","[5.41, 31.2, 2.36]","[399482644, 558167536, 841385, 1059329]",177232.68
